#multi:
;A;;T;;E;;M;;C;;5Mt;;
t;x;y;x;y;x;y;x;y;x;y;x;y;
0,000;0,376;1,404;0,411;0,884;0,568;0,483;0,486;0,112;0,445;8,604E-2;0,580;5,354E-2
0,017;0,374;1,402;0,410;0,883;0,569;0,481;0,528;0,101;0,486;7,031E-2;0,630;5,478E-2
0,033;0,373;1,399;0,410;0,880;0,569;0,479;0,569;9,404E-2;0,531;5,788E-2;0,677;6,003E-2
0,050;0,372;1,396;0,410;0,876;0,568;0,475;0,606;9,150E-2;0,570;4,979E-2;0,716;6,895E-2
0,067;0,371;1,393;0,410;0,871;0,566;0,472;0,639;9,236E-2;0,607;4,679E-2;0,752;8,137E-2
0,083;0,370;1,389;0,411;0,866;0,565;0,467;0,665;9,558E-2;0,636;4,727E-2;0,776;9,162E-2
0,100;0,369;1,386;0,411;0,862;0,563;0,464;0,683;9,841E-2;0,656;4,931E-2;0,792;9,813E-2
0,117;0,368;1,382;0,412;0,858;0,563;0,461;0,692;9,850E-2;0,671;4,781E-2;0,801;9,990E-2
0,133;0,368;1,379;0,413;0,854;0,564;0,459;0,693;9,579E-2;0,671;4,379E-2;0,801;9,650E-2
0,150;0,368;1,376;0,413;0,852;0,566;0,457;0,686;9,059E-2;0,658;3,818E-2;0,793;8,759E-2
0,167;0,368;1,374;0,413;0,851;0,568;0,455;0,671;8,420E-2;0,638;3,390E-2;0,778;7,600E-2
0,183;0,368;1,372;0,415;0,850;0,570;0,454;0,654;8,213E-2;0,624;4,458E-2;0,763;6,475E-2
0,200;0,368;1,372;0,418;0,852;0,571;0,456;0,643;8,345E-2;0,600;4,385E-2;0,750;5,912E-2
0,217;0,368;1,373;0,420;0,859;0,574;0,460;0,624;8,247E-2;0,582;4,582E-2;0,732;5,077E-2
0,233;0,367;1,377;0,422;0,866;0,574;0,463;0,605;8,189E-2;0,566;4,199E-2;0,712;4,363E-2
0,250;0,367;1,381;0,423;0,871;0,569;0,463;0,585;8,015E-2;0,547;4,797E-2;0,691;3,621E-2
0,267;0,367;1,385;0,424;0,876;0,561;0,462;0,565;7,815E-2;0,519;4,478E-2;0,670;3,209E-2
0,283;0,367;1,389;0,424;0,879;0,551;0,460;0,544;7,757E-2;0,502;4,697E-2;0,649;3,181E-2
0,300;0,367;1,393;0,423;0,881;0,537;0,459;0,523;7,752E-2;0,478;4,826E-2;0,627;3,145E-2
0,317;0,369;1,395;0,421;0,884;0,525;0,459;0,501;7,750E-2;0,457;4,999E-2;0,605;3,184E-2
0,333;0,371;1,398;0,419;0,886;0,511;0,458;0,480;7,771E-2;0,435;5,150E-2;0,583;3,166E-2
0,350;0,373;1,401;0,416;0,889;0,497;0,457;0,460;7,764E-2;0,408;4,854E-2;0,561;3,136E-2
0,367;0,376;1,404;0,413;0,890;0,484;0,456;0,439;7,751E-2;0,394;4,695E-2;0,540;3,138E-2
0,383;0,377;1,407;0,410;0,890;0,470;0,456;0,419;7,757E-2;0,372;4,645E-2;0,518;3,112E-2
0,400;0,378;1,409;0,407;0,889;0,455;0,454;0,398;7,782E-2;0,356;4,864E-2;0,497;3,124E-2
