#multi:
;A;;T;;E;;M;;C;;5Mt;;
t;x;y;x;y;x;y;x;y;x;y;x;y;
0,000;0,584;1,954;0,659;1,203;0,899;0,647;1,028;0,119;0,977;6,589E-2;1,187;9,355E-2
0,017;0,585;1,953;0,668;1,212;0,901;0,655;0,999;0,118;0,944;6,874E-2;1,158;7,756E-2
0,033;0,585;1,956;0,671;1,228;0,904;0,662;0,964;0,117;0,907;7,025E-2;1,123;6,474E-2
0,050;0,585;1,961;0,672;1,240;0,901;0,663;0,934;0,115;0,873;7,147E-2;1,089;5,541E-2
0,067;0,589;1,966;0,671;1,249;0,890;0,663;0,898;0,113;0,837;7,074E-2;1,053;5,107E-2
0,083;0,592;1,972;0,670;1,254;0,876;0,661;0,864;0,113;0,802;7,079E-2;1,017;5,009E-2
0,100;0,595;1,980;0,666;1,257;0,856;0,661;0,828;0,114;0,765;7,052E-2;0,981;4,977E-2
0,117;0,597;1,988;0,660;1,261;0,832;0,660;0,791;0,115;0,728;7,179E-2;0,944;5,011E-2
0,133;0,601;1,997;0,656;1,268;0,809;0,659;0,756;0,116;0,692;7,295E-2;0,907;5,126E-2
0,150;0,604;2,005;0,652;1,272;0,781;0,658;0,719;0,116;0,656;7,356E-2;0,871;5,093E-2
0,167;0,607;2,013;0,649;1,275;0,755;0,656;0,683;0,117;0,621;7,339E-2;0,835;5,193E-2
0,183;0,608;2,021;0,643;1,277;0,725;0,656;0,646;0,117;0,585;7,383E-2;0,797;5,200E-2
0,200;0,610;2,026;0,639;1,277;0,697;0,654;0,611;0,119;0,550;7,600E-2;0,761;5,249E-2
0,217;0,609;2,031;0,633;1,277;0,669;0,653;0,575;0,120;0,514;7,824E-2;0,723;5,341E-2
0,233;0,609;2,033;0,627;1,276;0,640;0,652;0,541;0,122;0,477;8,062E-2;0,687;5,368E-2
0,250;0,609;2,033;0,621;1,273;0,612;0,649;0,502;0,121;0,442;8,213E-2;0,649;5,412E-2
0,267;0,609;2,030;0,613;1,268;0,585;0,646;0,468;0,123;0,407;8,372E-2;0,612;5,435E-2
0,283;0,609;2,026;0,605;1,262;0,561;0,643;0,432;0,123;0,371;8,560E-2;0,437;0,124
0,300;0,611;2,021;0,597;1,256;0,536;0,641;0,399;0,125;0,336;8,852E-2;0,539;5,422E-2
0,317;0,613;2,015;0,589;1,249;0,510;0,639;0,364;0,127;0,300;9,285E-2;0,501;5,517E-2
0,333;0,614;2,008;0,581;1,244;0,483;0,640;0,328;0,131;0,264;9,731E-2;0,463;5,537E-2
0,350;0,615;2,002;0,573;1,238;0,457;0,641;0,293;0,135;0,229;0,104;0,426;5,660E-2
0,367;0,616;1,994;0,567;1,233;0,432;0,643;0,258;0,141;0,194;0,112;0,389;5,653E-2
0,383;0,619;1,986;0,563;1,230;0,409;0,646;0,225;0,148;0,161;0,122;0,352;5,778E-2
0,400;0,621;1,979;0,558;1,226;0,392;0,647;0,192;0,155;0,126;0,132;0,193;0,157
0,417;0,623;1,974;0,554;1,223;0,380;0,647;0,161;0,165;9,364E-2;0,144;0,278;5,851E-2
0,434;0,625;1,970;0,552;1,220;0,373;0,648;0,129;0,176;6,255E-2;0,159;0,240;6,040E-2
0,450;0,627;1,968;0,555;1,218;0,370;0,648;0,102;0,189;3,541E-2;0,178;0,206;6,415E-2
0,467;0,629;1,966;0,559;1,215;0,374;0,647;7,777E-2;0,204;1,192E-2;0,199;0,170;6,836E-2
0,484;0,631;1,965;0,565;1,213;0,383;0,645;6,107E-2;0,221;-5,307E-3;0,223;0,136;7,369E-2
0,500;0,631;1,967;0,573;1,211;0,397;0,642;4,921E-2;0,238;5,008E-2;0,240;0,107;7,999E-2
0,517;0,631;1,971;0,581;1,211;0,416;0,637;4,374E-2;0,256;-7,639E-3;0,285;7,770E-2;8,884E-2
0,534;0,630;1,977;0,588;1,212;0,440;0,630;4,474E-2;0,276;-6,808E-3;0,310;5,303E-2;9,984E-2
0,550;0,631;1,984;0,594;1,212;0,470;0,623;5,344E-2;0,296;1,554E-2;0,338;4,205E-2;0,121
0,567;0,631;1,990;0,599;1,213;0,501;0,616;7,068E-2;0,318;3,749E-2;0,370;4,272E-2;0,146
